eqa-cb-ping103, systemd-network,  
eqa-cb-ping103, dbus,  
eqa-cb-ping103, polkitd,  
eqa-cb-ping103, sssd,  
eqa-cb-ping103, #apache,  
eqa-cb-ping103, libstoragemgmt,  
eqa-cb-ping103, abrt,  
eqa-cb-ping103, rpc,  
eqa-cb-ping103, nscd,  
eqa-cb-ping103, ntp,  
eqa-cb-ping103, tss,  
eqa-cb-ping103, postfix,  
eqa-cb-ping103, rpcuser,  
eqa-cb-ping103, nfsnobody,  
eqa-cb-ping103, pcp,  
eqa-cb-ping103, nslcd,  
eqa-cb-ping103, ldap,  
eqa-cb-ping103, sshd,  
eqa-cb-ping103, nrpe,  
eqa-cb-ping103, dovecot,  
eqa-cb-ping103, dovenull,  
eqa-cb-ping103, chrony,  
eqa-cb-ping103, unbound,  
eqa-cb-ping103, avahi-autoipd,  
eqa-cb-ping103, oprofile,  
eqa-cb-ping103, tcpdump,  
eqa-cb-ping103, oracle,  
eqa-cb-ping103, apache,  
eqa-cb-ping103, oracle,  
eqa-cb-ping103, nagios,  
eqa-cb-ping104, root,  0 0 * * * /data/app/scripts/k12_logroll.pl -D /var/log -E *.*.log -M +0 -P pf9-idms -R 14 -C move >> /var/tmp/k12_logroll_cron.out 2>&1 
eqa-cb-ping104, bin,  
eqa-cb-ping104, daemon,  
eqa-cb-ping104, adm,  
eqa-cb-ping104, lp,  
eqa-cb-ping104, sync,  
eqa-cb-ping104, shutdown,  
eqa-cb-ping104, halt,  
eqa-cb-ping104, mail,  
eqa-cb-ping104, operator,  
eqa-cb-ping104, ftp,  
eqa-cb-ping104, nobody,  
eqa-cb-ping104, nagios,  
eqa-cb-ping104, systemd-network,  
eqa-cb-ping104, dbus,  
eqa-cb-ping104, polkitd,  
eqa-cb-ping104, sssd,  
eqa-cb-ping104, #apache,  
eqa-cb-ping104, libstoragemgmt,  
eqa-cb-ping104, abrt,  
eqa-cb-ping104, rpc,  
eqa-cb-ping104, nscd,  
